,IDENTIFICATION & PRICE,,,,PROPERTY MARKET FUNDAMENTALS,,,,,,,,,MACRO & DEMOGRAPHICS,,,,,,,FOREIGN BUYER ENVIRONMENT,,,,,,TRANSACTION & HOLDING COSTS,,,,,,,RISK & PRACTICAL,,,
Country,"Median Price
(Local Ccy)",Currency,"Converted
Price (AUD)",FX Regime,"10yr Nominal
Growth (Total)","10yr Nominal
CAGR","10yr Real
Growth (Total)","Real YoY
(Latest)","Expected 10yr
Nom. Growth","Price-to-
Income","Gross Yield
Centre (%)","Gross Yield
Outside (%)","Net Yield
Est. (%)","Population
(m)","Pop Growth
(% p.a.)","Urbanisation
(%)","GDP/Capita
(USD PPP)","GDP Growth
Forecast","Inflation
(%)","S&P
Rating","Property
Rights (0-100)","Econ Freedom
Score","Foreign Ownership
Restrictions","Residency/Visa
Pathway","Repatriation
Restrictions","CPI Score
(TI)","Purchase
Costs (%)","Holding
Costs (% p.a.)","CGT Rate
(Non-Res)","Rental Tax
(Non-Res)","Australia
DTA?","WHT on
Rent (%)","Estate/
Inheritance Tax","FX Vol
(5yr vs AUD)","Liquidity
(Months to Sell)",Key Obstacles,"Foreign-Buyer
Friendliness
(1-5)"
Georgia,"GEL 280,000",GEL,98000,Managed float,Est. +120%,Est. 8.2%,Est. +55%,N/A,Base ~+60% (range +20% to +90%),13,7,7.8,Est. 5.5%,3.7,-0.5,60,21900,5.0%,2,BB,66,74.1,Foreigners can buy freehold property (apartments and buildings). Agricultural land restricted. No minimum price.,Yes - USD 150K property (1yr) or USD 300K (5yr permit),No significant restrictions. Free float currency.,53,2-4%,Est. 0.5-1.0%,20% (exempt if held >2 yrs),20% flat,No,20%,No,Est. 10-12%,3-6 months,"Small, illiquid market. Political instability risk (proximity to Russia). Limited mortgage availability for foreigners. Title system improving but still developing.",4
Egypt,"EGP 1,500,000",EGP,75000,Managed float (significant devaluations 2022-24),Est. +300% (in EGP),Est. 15%,Est. -10% (high inflation erodes gains),N/A,Base ~+150% nominal (range depends heavily on FX),20.4,5,5.1,Est. 3.5%,106,1.6,43,16800,4.5%,25,B,45,52.4,Foreigners can buy up to 2 properties. Max size limits apply. Restrictions near borders/military zones. No agricultural land.,No formal property-based visa. Tourist visa or work permit needed.,Capital controls. Repatriation can be difficult and slow.,30,5-8%,Est. 0.3-0.5%,2.5% of sale price,Progressive 0-25%,No,20%,Yes (progressive 1-3%),25-35%,6-12 months,Extreme FX risk (EGP lost ~60% vs AUD 2022-24). Capital controls complicate repatriation. Bureaucratic property registration. Title verification challenges in some areas.,2
North Macedonia,"EUR 60,000",MKD/EUR,98000,Pegged to EUR,Est. +80%,Est. 6.1%,Est. +45%,"+20% (Q3 2025, BIS)",Base ~+50% (range +20% to +70%),11.8,3.5,3.7,Est. 2.5%,1.8,-0.5,59,21000,3.5%,3.5,BB-,55,66.1,Foreigners can buy apartments/buildings. Land purchase requires a local company. Reciprocity agreements with some countries.,No property-based visa pathway.,Generally free. EUR-pegged currency reduces FX risk.,40,3-5%,Est. 0.1-0.3%,10%,10%,No,10%,No (but inheritance tax 2-5%),Est. 8-10% (EUR-pegged),6-12 months,"Very small, illiquid market. EU accession pending (decades). Limited rental demand outside Skopje. Language barriers. Requires local company for land.",2
Colombia,"COP 350,000,000",COP,105000,Free float,Est. +80%,Est. 6.1%,Est. +20%,N/A,Base ~+50% (range +10% to +80%),16.9,5.3,5.8,Est. 3.0%,52,0.5,82,19800,2.5%,5.5,BB,50,59,Foreigners have equal property rights. Full freehold allowed. No restrictions on purchase.,Investment visa available (varies). No specific property-based golden visa.,Generally free but must register foreign investment with central bank for repatriation.,39,3-5%,Est. 0.5-1.5%,15% (long-term) / 35% (short-term <2 yrs),35% WHT,No,35%,No (but inheritance tax 0-10%),12-15%,6-12 months,Very high non-resident rental tax (35% WHT). FX volatility. Security concerns in some areas. Distance from Australia. Need to register foreign investment for repatriation.,2
Turkey,"TRY 5,000,000",TRY,140000,Free float (high volatility),+900% Est.,Est. 26%,Est. -30% (massive inflation),"-2.5% (Q3 2025, BIS)",Base ~+200% nom. but real returns depend on inflation/FX,7.3,6.7,8,Est. 5.5%,86,0.5,77,41900,3.0%,45,BB-,55,62.4,Foreigners can buy freehold. Military zone restrictions. Cannot exceed 30 hectares nationally. Some reciprocity restrictions apply.,Yes - USD 400K property = direct citizenship (3yr hold),Generally free but TRY weakness means FX conversion losses likely.,34,7-10%,Est. 0.3-0.5%,15-40% progressive (exempt after 5 yrs),15-40% progressive,Yes,20%,Yes (progressive 1-30%),25-35%,3-6 months,Extreme FX risk (TRY lost ~80% vs USD over 5 years). Very high inflation erodes real returns. Political/institutional risk. Citizenship route requires USD 400K which is above median. DTA with Australia helps on double taxation.,3
Albania,"EUR 80,000",ALL/EUR,131000,Managed float,Est. +60%,Est. 4.8%,Est. +30%,N/A,Base ~+40% (range +10% to +60%),15.1,4.9,5.4,Est. 3.5%,2.8,-0.6,64,18000,3.8%,3,BB,52,66.6,Foreigners can buy buildings/apartments. Agricultural land restricted. EU candidate status improving legal framework.,No property-based visa. Standard residence permit routes.,Generally free.,42,3-5%,Est. 0.2-0.5%,15%,15%,No,15%,No formal estate tax,Est. 10-12%,6-12 months,"Small, illiquid market. Title issues persist in some areas. Informal economy complicates transactions. Limited rental demand. EU accession ongoing but slow.",2
Serbia,"EUR 90,000",RSD,148000,Managed float (quasi-peg to EUR),Est. +70%,Est. 5.5%,Est. +30%,N/A,Base ~+45% (range +15% to +60%),14.8,3.6,3.9,Est. 2.5%,6.6,-0.5,57,24500,3.5%,4,BBB-,58,65,Foreigners can buy property with reciprocity. Australians generally can buy. Land purchase may require company.,No property-based visa. Standard permit routes.,Generally free. Managed float provides relative stability.,35,5-7%,Est. 0.3-0.5%,15%,~15% effective (20% with 25% deduction),No,20% (25% deduction available),Yes (inheritance tax 1.5-2.5%),Est. 8-10%,6-12 months,EU accession uncertain timeline. Declining population reduces demand. Limited transparency. Need to verify reciprocity for Australians. Low yields for the risk profile.,2
Hungary,"EUR 100,000",HUF,164000,Free float,Est. +110%,Est. 7.7%,Est. +40%,"+16% (Q3 2025, BIS)",Base ~+50% (range +20% to +70%),12.8,3.3,3.5,Est. 2.5%,9.6,-0.3,72,43900,3.0%,4,BBB-,62,66,EU/EEA nationals free to buy. Non-EU foreigners need permit from local government (generally granted). Agricultural land restricted.,No property-based golden visa. Guest investor programme requires EUR 250K+ (bonds/funds).,Free within EU. No capital controls.,41,6-10%,Est. 0.3-0.5%,15% (exempt after 5 yrs),15% flat,Yes,0% (self-assessed),Yes (inheritance tax 9-18%),10-12%,3-6 months,Non-EU buyer permit required (adds bureaucracy). HUF volatility. Political risk (rule-of-law disputes with EU). Low yields. Strong recent price growth may be peaking. DTA with Australia provides relief.,3
Malaysia,"MYR 500,000",MYR,158383,Managed float,+37.10%,3.21%,Est. +10%,-1.22% (Q3 2025),Base ~+38% (range +16% to +55%),8.8,4.2,4.9,Est. 3.5%,34,1.22,78,36500,4.5%,2.5,A-,66,72.5,Foreigners can buy freehold above state minimum prices (MYR 600K-1M depending on state). Cannot buy Malay-reserved or low-cost housing.,MM2H programme (long-stay visa). Not a property-based golden visa per se.,Generally free. Some administrative requirements.,50,5-7%,Est. 0.5-1.0%,"RPGT: 30% (yr 1-3), 20% (yr 4), 15% (yr 5), 10% (yr 6+)",30% flat,Yes,0% (self-assessed),No,6-8%,3-6 months,"High non-resident tax rates (30% rental, 30% RPGT early years). State-level minimum price rules add complexity. Oversupply in some segments (KL condos). DTA with Australia provides relief. Relatively close timezone.",3
