Country,Investment Profile
Georgia,"  Market: Emerging market with strong recent price growth driven by expat/Russian inflows. Tbilisi and Batumi are primary markets.
  Opportunity: Very low entry price (<AUD 100K). No CGT if held >2 years. Strong rental yields in tourist areas.
  Risk: Political instability, proximity to conflict zones, small illiquid market. Population declining.
  Entry: Straightforward purchase. No restrictions on apartments. Consider local lawyer for due diligence.
  Structure: Individual ownership feasible. Georgian LLC possible for tax optimisation. No DTA with Australia - factor into structuring.
  Timing: Market is hot due to relocation wave. Consider whether growth is sustainable long-term."
Egypt,"  Market: Large population, massive housing deficit, but extreme FX risk. Nominal price growth looks impressive but real returns have been negative.
  Opportunity: Extremely cheap entry. Young, growing population. Infrastructure investment (new capital city).
  Risk: EGP has lost ~60% vs AUD since 2022. Capital controls. Bureaucratic title system. Political risk.
  Entry: Foreigners limited to 2 properties with size caps. Use reputable international agent. Title verification essential.
  Structure: Individual ownership. No DTA - consider if the FX and regulatory risk justify the low entry price.
  Timing: EGP may have further to fall. Wait for macro stabilisation before committing."
North Macedonia,"  Market: Very small, illiquid. Strongest recent BIS price growth (+20%). EUR-pegged.
  Opportunity: Cheap entry. EUR-pegged FX stability. Strong recent growth.
  Risk: Tiny, illiquid market. EU accession uncertain. No DTA. Limited rental demand.
  Entry: Apartments ok. Land requires local company. Use local lawyer.
  Structure: Local company for land. Individual for apartments. No DTA.
  Timing: Strong recent growth may not be sustainable. Speculative at this stage."
Turkey,"  Market: Huge nominal gains but massive inflation and TRY collapse mean negative real returns. USD 400K citizenship route is the main foreign buyer driver.
  Opportunity: Citizenship-by-investment at USD 400K. Good rental yields. Large, diverse market.
  Risk: TRY lost ~80% vs USD over 5 years. 45% inflation. Political/institutional risk. Real returns likely negative.
  Entry: Straightforward for apartments. Military zone restrictions. Use certified translator and notary.
  Structure: Individual or Turkish LLC. DTA with Australia exists. Citizenship route bypasses many issues but requires USD 400K commitment.
  Timing: Inflation may be peaking (policy tightening underway). FX risk remains extreme for AUD-based investor."
Albania,"  Market: Emerging. EU candidate. Affordable entry but very limited liquidity.
  Opportunity: Cheap. EU candidate. 15% flat tax rates. Growing tourism (Riviera).
  Risk: Title issues. Informal economy. Very illiquid. No DTA. Limited data.
  Entry: Apartments ok. Agricultural land restricted. Use international lawyer.
  Structure: Individual or Albanian SHPK. No DTA. High risk, low data quality.
  Timing: EU candidate status improving but slow. Very long-term play."
Serbia,"  Market: Moderate. Belgrade-focused. EU accession uncertain. Quasi-EUR peg.
  Opportunity: Improving credit rating (BBB-). 15% CGT. Low purchase costs.
  Risk: Low yields. No DTA. Declining population. EU accession uncertain.
  Entry: Check reciprocity for Australians. Use local lawyer.
  Structure: Individual or Serbian d.o.o. No DTA. Reciprocity verification needed.
  Timing: Recent rating upgrade suggests improving fundamentals. Monitor EU progress."
Hungary,"  Market: Strong recent growth (+16% real). Permit needed for non-EU buyers. DTA with Australia.
  Opportunity: DTA with Australia. CGT exempt after 5 years. 15% flat tax. EU membership.
  Risk: Political risk (rule-of-law disputes). Non-EU permit needed. Low yields. HUF volatility.
  Entry: Non-EU buyers need local government permit (generally granted). Use local lawyer.
  Structure: Individual or Hungarian Kft. DTA with Australia. 5yr CGT exemption is attractive.
  Timing: Very strong recent growth may be peaking. EU fund flows supporting. Monitor political situation."
Malaysia,"  Market: Stable, regulated market with moderate growth. KL condo oversupply in some segments. MM2H visa programme available.
  Opportunity: Affordable entry. Strong GDP growth. Close timezone to Australia. DTA provides tax relief.
  Risk: 30% non-resident rental and RPGT rates. State-level minimum price rules (MYR 600K-1M). Oversupply in Kuala Lumpur condos.
  Entry: Foreign buyer must meet state minimum. Process is well-established. Engage local solicitor.
  Structure: Individual ownership most common. Malaysian Sdn Bhd possible but adds complexity. DTA with Australia helps.
  Timing: Market has been relatively flat in real terms. Awaiting catalysts from government housing policy reform."
Morocco,"  Market: Moderate yields. No agricultural land for foreigners. No DTA with Australia.
  Opportunity: Growing economy. Affordable entry. Tourist appeal (Marrakech).
  Risk: No DTA. Repatriation requires proof of foreign funds. Bureaucratic. Language barrier.
  Entry: Urban property purchase ok. Agricultural land banned. Use local notaire.
  Structure: Individual or Moroccan SARL. No DTA is a significant disadvantage.
  Timing: World Cup 2030 co-host may boost infrastructure and tourism investment."
Brazil,"  Market: Large, diverse market. BRL volatility is the defining risk. Urban property freely available.
  Opportunity: Large market. Growing economy. Investor visa pathway. Affordable entry.
  Risk: BRL extreme volatility. High holding costs. No DTA (under negotiation). Bureaucratic.
  Entry: CPF tax number required. Use registered agent and lawyer. Process is established.
  Structure: Individual or Brazilian LTDA. No DTA yet but under negotiation. BRL volatility dominates return profile.
  Timing: BRL has been weak. If macro stabilises, potential for FX recovery boosts AUD returns."
